지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
90,2019-01-01,-1.5,-5.8,505,2.4,1238,,,,,,,10.9,290,1649,5.9,290,1653,1.7,1471,-20.1,13,41,23.6,1.3,1026.3,1031.4,18,1025.7,1357,1028.6,9.6,6.7,,,,,,,,,3.5,2.9,-3.1,-8.2,,,,,,,,,,,,,
90,2019-01-02,-1.4,-6.3,753,4.5,1421,,,,,,,6.8,290,1202,3.5,290,1206,1.2,1064,-21.5,11,1357,20.9,1.1,1027.3,1031.8,918,1027.9,1417,1029.6,9.6,8.9,,,,,,,,,.1,0,-2.7,-9.9,,,,,,,,,,,,,
90,2019-01-03,-.4,-4.1,624,4.6,1300,,,,,,,6.6,290,532,3.4,290,453,1.5,1322,-17.3,13,1110,27.3,1.7,1029.2,1033.2,1006,1029.9,1,1031.5,9.6,8.9,,,,,,,,,.1,0,-1.7,-8.6,,,,,,,,,,,,,
90,2019-01-04,2.6,-3.1,404,6.3,1306,,,,,,,10.4,230,922,6,230,1010,2.3,1967,-13.3,17,1034,31.1,2.3,1023.9,1031.8,19,1022.1,2357,1026.2,9.6,4.3,,,,,,,,,5.1,3.6,.7,-6,,,,,,,,,,,,,
90,2019-01-05,.8,-3.3,1955,3.5,1251,,,,,,,10,270,104,4.1,270,140,2.2,1926,-14.2,18,1025,31.8,2.1,1021.8,1026.2,2313,1021.9,103,1024.1,9.6,8.8,,,,,,,,,1.3,.3,-.2,-6,,,,,,,,,,,,,
90,2019-01-06,.7,-2.6,451,5.5,1341,,,,,,,4.6,290,2037,2.5,290,248,1.3,1151,-12.9,21,2130,36.4,2.4,1023.8,1027.4,907,1024.6,1456,1026.1,9.6,6.6,,,,,,,,,2.5,.3,.4,-4.6,,,,,,,,,,,,,
90,2019-01-07,2,-2,640,6.2,1437,,,,,,,10.9,290,2326,6.7,290,2335,2.1,1856,-18.9,12,503,19.9,1.4,1021.9,1025.9,242,1022.4,1428,1024.2,9.6,8.4,,,,,,,,,3.3,3.3,.7,-4.7,,,,,,,,,,,,,
90,2019-01-08,-.4,-4.9,2359,3.9,1239,,,,,,,12.4,360,1634,6.2,290,1948,3.1,2668,-21.3,12,1114,19.5,1.2,1022.3,1029.8,2348,1020.7,1405,1024.6,9.7,8.9,,,,,,,,,.4,0,-.3,-9.7,,,,,,,,,,,,,
90,2019-01-09,-1.7,-7.5,741,3.7,2334,,,,,,,9.8,200,2347,4.9,290,2248,1.4,1238,-21.4,5,2332,22.8,1.2,1026.9,1033.9,856,1022.5,2358,1029.2,9.7,8.6,,,,,,,,,3.8,.9,-2.5,-9.7,,,,,,,,,,,,,
90,2019-01-10,3.5,.5,2318,7.8,1300,,,,,,,11.1,250,1646,4.8,250,1655,2.2,1867,-17.1,4,55,23.6,1.9,1017.6,1022.8,5,1017.3,1328,1019.8,9.7,7,,,,,,,,,3.8,3.5,2.9,-3,,,,,,,,,,,,,
