id,title,slug,pdi,idv,mas,uai,lto,ind,ivr,Continent
545,Albania*,albania,90,20,80,70,61,15,15,Europe
7062,Algeria*,algeria,80,35,35,70,26,32,32,Africa
546,Angola*,angola,83,18,20,60,15,83,83,Africa
460,Argentina,argentina,49,46,56,86,20,62,62,South America
7067,Armenia*,armenia,85,22,50,88,61,25,25,Asia
459,Australia,australia,38,90,61,51,21,71,71,Australia
461,Austria,austria,11,55,79,70,60,63,63,Europe
7074,Azerbaijan*,azerbaijan,85,22,50,88,61,22,22,Asia
519,Bangladesh,bangladesh,80,20,55,60,47,20,20,Asia
7077,Belarus*,belarus,95,25,20,95,81,15,15,Europe
462,Belgium,belgium,65,75,54,94,82,57,57,Europe
463,Bhutan*,bhutan,94,52,32,28,-1,-1,-1,Asia
7027,Bolivia*,"bolivia, plurinational state of",78,10,42,87,25,46,46,South America
7086,Bosnia and Herzegovina*,bosnia and herzegovina,90,22,48,87,70,44,44,Europe
465,Brazil,brazil,69,38,49,76,44,59,59,South America
466,Bulgaria,bulgaria,70,30,40,85,69,16,16,Europe
548,Burkina Faso*,burkina-faso,70,15,50,55,27,18,18,Africa
467,Canada,canada,39,80,52,48,36,68,68,North America
547,Cape Verde*,cape-verde,75,20,15,40,12,83,83,Africa
468,Chile,chile,63,23,28,86,31,68,68,South America
469,China,china,80,20,66,30,87,24,24,Asia
470,Colombia,colombia,67,13,64,80,13,83,83,South America
471,Costa Rica,costa rica,35,15,21,86,-1,-1,-1,North America
472,Croatia,croatia,73,33,40,80,58,33,33,Europe
474,Czech Republic,czech republic,57,58,57,74,70,29,29,Europe
473,Denmark,denmark,18,74,16,23,35,70,70,Europe
549,Dominican Republic*,dominican republic,65,30,65,45,13,54,54,North America
475,Ecuador,ecuador,78,8,63,67,-1,-1,-1,South America
456,Egypt*,egypt,70,25,45,80,7,4,4,Africa
477,El Salvador,"el salvador
",66,19,40,94,20,89,89,North America
478,Estonia,estonia,40,60,30,60,82,16,16,Europe
457,Ethiopia*,ethiopia,70,20,65,55,-1,46,46,Africa
550,Fiji*,fiji,78,14,46,48,-1,-1,-1,Oceania
479,Finland,finland,33,63,26,59,38,57,57,Europe
480,France,france,68,71,43,86,63,48,48,Europe
7089,Georgia*,georgia,65,41,55,85,38,32,32,Asia
481,Germany,germany,35,67,66,65,83,40,40,Europe
482,Ghana*,ghana,80,15,40,65,4,72,72,Africa
483,Greece,greece,60,35,57,100,45,50,50,Europe
484,Guatemala,guatemala,95,6,37,98,-1,-1,-1,North America
551,Honduras*,honduras,80,20,40,50,-1,-1,-1,North America
485,Hong Kong,hong kong (china),68,25,57,29,61,17,17,Asia
520,Hungary*,hungary,46,80,88,82,58,31,31,Europe
552,Iceland*,iceland,30,60,10,50,28,67,67,Europe
541,India,india,77,48,56,40,51,26,26,Asia
486,Indonesia,indonesia,78,14,46,48,62,38,38,Asia
488,Iran,"iran, islamic republic of",58,41,43,59,14,40,40,Asia
521,Iraq*,iraq,95,30,70,85,25,17,17,Asia
489,Ireland,ireland,28,70,68,35,24,65,65,Europe
